REFC:entire atmosphere:1 hour fcst:,"Composite reflectivity [dB]"
RETOP:cloud top:1 hour fcst:,"Echo Top [m]"
var discipline=0 center=7 local_table=1 parmcat=16 parm=201:entire atmosphere:1 hour fcst:,"Echo Top [m]"
VIL:entire atmosphere:1 hour fcst:,"Vertically-Integrated Liquid Water [kg/m^2]"
VIS:surface:1 hour fcst:,"Visibility [m]"
REFD:1000 m above ground:1 hour fcst:,"Reflectivity [dB]"
REFD:4000 m above ground:1 hour fcst:,"Reflectivity [dB]"
REFD:263 K level:1 hour fcst:,"Reflectivity [dB]"
GUST:surface:1 hour fcst:,"Wind Speed (Gust) [m/s]"
UGRD:250 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:250 mb:1 hour fcst:,"V-Component of Wind [m/s]"
UGRD:300 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:300 mb:1 hour fcst:,"V-Component of Wind [m/s]"
HGT:500 mb:1 hour fcst:,"Geopotential Height [gpm]"
TMP:500 mb:1 hour fcst:,"Temperature [K]"
DPT:500 mb:1 hour fcst:,"Dew Point Temperature [K]"
UGRD:500 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:500 mb:1 hour fcst:,"V-Component of Wind [m/s]"
HGT:700 mb:1 hour fcst:,"Geopotential Height [gpm]"
TMP:700 mb:1 hour fcst:,"Temperature [K]"
DPT:700 mb:1 hour fcst:,"Dew Point Temperature [K]"
DZDT:700 mb:1 hour fcst:,"Vertical Velocity (Geometric) [m/s]"
UGRD:700 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:700 mb:1 hour fcst:,"V-Component of Wind [m/s]"
HGT:850 mb:1 hour fcst:,"Geopotential Height [gpm]"
TMP:850 mb:1 hour fcst:,"Temperature [K]"
DPT:850 mb:1 hour fcst:,"Dew Point Temperature [K]"
UGRD:850 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:850 mb:1 hour fcst:,"V-Component of Wind [m/s]"
TMP:925 mb:1 hour fcst:,"Temperature [K]"
DPT:925 mb:1 hour fcst:,"Dew Point Temperature [K]"
UGRD:925 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:925 mb:1 hour fcst:,"V-Component of Wind [m/s]"
TMP:1000 mb:1 hour fcst:,"Temperature [K]"
DPT:1000 mb:1 hour fcst:,"Dew Point Temperature [K]"
UGRD:1000 mb:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:1000 mb:1 hour fcst:,"V-Component of Wind [m/s]"
MAXUVV:100-1000 mb above ground:0-1 hour max fcst:,"Hourly Maximum of Upward Vertical Velocity in the lowest 400hPa [m/s]"
MAXDVV:100-1000 mb above ground:0-1 hour max fcst:,"Hourly Maximum of Downward Vertical Velocity in the lowest 400hPa [m/s]"
DZDT:0.5-0.8 sigma layer:0-1 hour ave fcst:,"Vertical Velocity (Geometric) [m/s]"
MSLMA:mean sea level:1 hour fcst:,"(MAPS System Reduction) [Pa]"
HGT:1000 mb:1 hour fcst:,"Geopotential Height [gpm]"
MAXREF:1000 m above ground:0-1 hour max fcst:,"Hourly Maximum of Simulated Reflectivity at 1 km AGL [dB]"
REFD:263 K level:0-1 hour max fcst:,"Reflectivity [dB]"
MXUPHL:5000-2000 m above ground:0-1 hour max fcst:,"Hourly Maximum of Updraft Helicity over Layer 2km to 5 km AGL [m^2/s^2]"
MNUPHL:5000-2000 m above ground:0-1 hour min fcst:,"Hourly Minimum of Updraft Helicity [m^2/s^2]"
MXUPHL:2000-0 m above ground:0-1 hour max fcst:,"Hourly Maximum of Updraft Helicity over Layer 2km to 5 km AGL [m^2/s^2]"
MNUPHL:2000-0 m above ground:0-1 hour min fcst:,"Hourly Minimum of Updraft Helicity [m^2/s^2]"
MXUPHL:3000-0 m above ground:0-1 hour max fcst:,"Hourly Maximum of Updraft Helicity over Layer 2km to 5 km AGL [m^2/s^2]"
MNUPHL:3000-0 m above ground:0-1 hour min fcst:,"Hourly Minimum of Updraft Helicity [m^2/s^2]"
RELV:2000-0 m above ground:0-1 hour max fcst:,"Relative Vorticity [1/s]"
RELV:1000-0 m above ground:0-1 hour max fcst:,"Relative Vorticity [1/s]"
HAIL:entire atmosphere:0-1 hour max fcst:,"Hail [m]"
HAIL:0.1 sigma level:0-1 hour max fcst:,"Hail [m]"
HAIL:surface:0-1 hour max fcst:,"Hail [m]"
TCOLG:entire atmosphere (considered as a single layer):0-1 hour max fcst:,"Total Column Integrate Graupel [kg/m^2]"
LTNGSD:1 m above ground:1 hour fcst:,"Lightning Potential Index (LPI) (see Note) [J/kg]"
LTNGSD:2 m above ground:1 hour fcst:,"Lightning Potential Index (LPI) (see Note) [J/kg]"
LTNG:entire atmosphere:1 hour fcst:,"Lightning [non-dim]"
UGRD:80 m above ground:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:80 m above ground:1 hour fcst:,"V-Component of Wind [m/s]"
PRES:surface:1 hour fcst:,"Pressure [Pa]"
HGT:surface:1 hour fcst:,"Geopotential Height [gpm]"
TMP:surface:1 hour fcst:,"Temperature [K]"
ASNOW:surface:0-1 hour acc fcst:,"Total Snowfall [m]"
MSTAV:0 m underground:1 hour fcst:,"Moisture Availability [%]"
CNWAT:surface:1 hour fcst:,"Plant Canopy Surface Water [kg/m^2]"
WEASD:surface:1 hour fcst:,"Water Equivalent of Accumulated Snow Depth [kg/m^2]"
SNOWC:surface:1 hour fcst:,"Snow Cover [%]"
SNOD:surface:1 hour fcst:,"Snow Depth [m]"
TMP:2 m above ground:1 hour fcst:,"Temperature [K]"
POT:2 m above ground:1 hour fcst:,"Potential Temperature [K]"
SPFH:2 m above ground:1 hour fcst:,"Specific Humidity [kg/kg]"
DPT:2 m above ground:1 hour fcst:,"Dew Point Temperature [K]"
RH:2 m above ground:1 hour fcst:,"Relative Humidity [%]"
MASSDEN:8 m above ground:1 hour fcst:,"Mass Density (Concentration) [kg/m^3]"
UGRD:10 m above ground:1 hour fcst:,"U-Component of Wind [m/s]"
VGRD:10 m above ground:1 hour fcst:,"V-Component of Wind [m/s]"
WIND:10 m above ground:0-1 hour max fcst:,"Wind Speed [m/s]"
